Parameter Setting,,,,,Bus,,,Overall Processors,Processor 1,,,,,,,,Processor 2,,,,,,,,Processor 3,,,,,,,,Processor 4,,,,,,,
Protocol,Input File,Cache Size,Associativity,Block Size,Data Traffic (Bytes),# Invalidations or Updates,# Write-Backs,# Overall Execution Cycles,# Execution Cycles,# Compute Cycles,# Load/Store Instructions,# Idle Cycles,Data Cache Miss Rate,# Total Accesses,% Public Accesses,% Private Accesses,# Execution Cycles,# Compute Cycles,# Load/Store Instructions,# Idle Cycles,Date Cache Miss Rate,# Total Accesses,% Public Accesses,% Private Accesses,# Execution Cycles,# Compute Cycles,# Load/Store Instructions,# Idle Cycles,Date Cache Miss Rate,# Total Accesses,% Public Accesses,% Private Accesses,# Execution Cycles,# Compute Cycles,# Load/Store Instructions,# Idle Cycles,Date Cache Miss Rate,# Total Accesses,% Public Accesses,% Private Accesses
DRAGON,bodytrack,1024,4,16,115089996,1438946,403926,691137641,691137641,17729254,3270132,666868123,67.49,1063011,1.91,98.09,381099347,17120545,3287252,357404298,69.41,1005679,10.68,89.32,88418239,17556877,117698,70625966,43.5,66501,25.18,74.82,454980817,17140113,3324919,431190866,69.17,1024977,6.46,93.54,
DRAGON,bodytrack,2048,4,16,101418028,1273938,276163,599215337,599215337,17729254,3270132,574945819,55.88,1442917,5.68,94.32,359863908,17120545,3287252,336168859,63.53,1198863,12.83,87.17,62872195,17556877,117698,45079922,35.92,75425,26.46,73.54,403462415,17140113,3324919,379672464,62.87,1234608,13.77,86.23,
DRAGON,bodytrack,2048,4,32,203747404,1282638,239694,602511383,602511383,17729254,3270132,578241865,50.75,1610482,3.82,96.18,408260131,17120545,3287252,384565082,67.5,1068207,13.52,86.48,140658457,17556877,117698,122866184,36.61,74610,25.09,74.91,388898003,17140113,3324919,365108052,66.44,1115757,14.29,85.71,
DRAGON,fluidanimate,1024,1,16,119458948,1808270,834432,720125182,589808596,11337782,2576503,573317808,67.05,848894,21.61,78.39,720125182,11290799,2407844,704018695,67.5,782629,17.94,82.06,299593342,11337671,2604189,283047293,67.93,835109,17.09,82.91,346300719,11301515,2411465,330176274,68.45,760789,21.41,78.59,
DRAGON,fluidanimate,1024,4,16,109226180,1728835,671079,666971240,666971240,11337782,2576503,650480452,61.44,993622,18.32,81.68,496455954,11290799,2407844,480349467,63.46,879896,14.24,85.76,276047228,11337671,2604189,259501179,63.08,961522,19.23,80.77,312757229,11301515,2411465,296632784,63.22,886899,21.76,78.24,
DRAGON,fluidanimate,2048,4,16,102719860,1682074,605108,622412379,622412379,11337782,2576503,605921591,57.76,1088219,19.97,80.03,469753930,11290799,2407844,453647443,58.55,998067,23.04,76.96,262937065,11337671,2604189,246391016,60.73,1022707,22.47,77.53,293819626,11301515,2411465,277695181,59.59,974491,22.94,77.06,
DRAGON,fluidanimate,2048,4,32,200089216,1706307,426850,608065440,608065440,11337782,2576503,591574652,58.57,1067326,20.52,79.48,462858638,11290799,2407844,446752151,57.36,1026730,16.44,83.56,264023004,11337671,2604189,247476955,60.72,1022968,22.41,77.59,283783542,11301515,2411465,267659097,59.75,970621,23.59,76.41,
MOESI,blackscholes,1024,1,16,67858864,1546597,209772,372200450,341856991,10430314,2497349,326431979,39.99,1498779,16.24,83.76,367312841,10383276,2490468,351948629,40.14,1490824,16.26,83.74,372200450,10430338,2509057,356751998,40.99,1480694,15.58,84.42,303306453,10394904,2503127,287905295,40.16,1497924,16.09,83.91,
MOESI,blackscholes,1024,4,16,29981152,538480,210584,143712648,143712648,10430314,2497349,128287636,16.26,2091371,15.47,84.53,143521301,10383276,2490468,128157089,16.2,2086997,15.51,84.49,136981427,10430338,2509057,121532975,17.63,2066673,15.24,84.76,143592091,10394904,2503127,128190933,16.44,2091722,15.39,84.61,
MOESI,blackscholes,2048,4,16,4512256,54955,44726,27600735,27567751,10430314,2497349,12142739,2.09,2445107,18.74,81.26,27600735,10383276,2490468,12236523,2,2440580,18.75,81.25,26741106,10430338,2509057,11292654,3.31,2426076,18.44,81.56,27580436,10394904,2503127,12179278,2.08,2450948,18.73,81.27,
MOESI,blackscholes,2048,4,32,14617056,105414,81615,37872079,37804458,10430314,2497349,22379446,3.55,2408598,18.35,81.65,37826734,10383276,2490468,22462522,3.45,2404630,18.35,81.65,37165569,10430338,2509057,21717117,4.49,2396376,18.11,81.89,37872079,10394904,2503127,22470921,3.51,2415229,18.35,81.65,
MOESI,bodytrack,1024,1,16,136818896,2157357,160733,825385253,812729704,17729254,3270132,788460186,89.93,329358,6.44,93.56,340818485,17120545,3287252,317123436,81.98,592448,15.06,84.94,235920273,17556877,117698,218128000,50.55,58198,21.75,78.25,825385253,17140113,3324919,801595302,81.38,619067,13.2,86.8,
MOESI,bodytrack,1024,4,16,83718944,1052457,120199,496024019,496024019,17729254,3270132,471754501,48.87,1671996,9.46,90.54,477477919,17120545,3287252,453782870,52.24,1570145,9.89,90.11,143082678,17556877,117698,125290405,35.43,76001,23.6,76.4,480415652,17140113,3324919,456625701,52.79,1569624,9.2,90.8,
MOESI,bodytrack,2048,4,16,26896624,425235,128797,163689958,163549950,17729254,3270132,139280432,14.75,2787658,9.75,90.25,157607199,17120545,3287252,133912150,16,2761446,8.61,91.39,33112728,17556877,117698,15320455,31.38,80767,24.27,75.73,163689958,17140113,3324919,139900007,15.25,2817888,9.86,90.14,
MOESI,bodytrack,2048,4,32,39525888,294422,91105,121031314,120867830,17729254,3270132,96598312,10.78,2917514,9.42,90.58,119224198,17120545,3287252,95529149,11.52,2908506,10.28,89.72,25360607,17556877,117698,7568334,29.88,82529,22.99,77.01,121031314,17140113,3324919,97241363,11.36,2947373,9.39,90.61,
MOESI,fluidanimate,1024,1,16,121018416,2093714,705235,735586764,735586764,11337782,2576503,719095976,70.01,772653,15.94,84.06,545948522,11290799,2407844,529842035,69.82,726653,14,86,362900293,11337671,2604189,346354244,70.61,765315,12.95,87.05,252709780,11301515,2411465,236585335,69.74,729738,9.99,90.01,
MOESI,fluidanimate,1024,4,16,115596816,2058574,587635,705023183,705023183,11337782,2576503,688532395,66.57,861297,17.11,82.89,525798109,11290799,2407844,509691622,67.13,791465,12.68,87.32,192237750,11337671,2604189,175691701,68.99,807502,13.38,86.62,365297326,11301515,2411465,349172881,67.39,786303,9.98,90.02,
MOESI,fluidanimate,2048,4,16,105593344,1960677,561184,646195806,646195806,11337782,2576503,629705018,62.25,972754,16.32,83.68,485525558,11290799,2407844,469419071,60.32,955460,13.57,86.43,319889991,11337671,2604189,303343942,62.79,969076,5.52,94.48,180052715,11301515,2411465,163928270,60.22,959187,7.06,92.94,
MOESI,fluidanimate,2048,4,32,201742400,1952102,324712,607197232,607197232,11337782,2576503,590706444,63.35,944268,21.41,78.59,446860194,11290799,2407844,430753707,56.21,1054324,22.07,77.93,306737714,11337671,2604189,290191665,64.66,920238,23.13,76.87,310680862,11301515,2411465,294556417,56.63,1045865,19.97,80.03,
